HD01, HD02, HD12, CW0, CW1, CW2
0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 1
0, 2, 2, 0, 0, 3
0, 3, 3, 0, 0, 7
0, 4, 4, 0, 0, 15
0, 5, 5, 0, 0, 31
0, 6, 6, 0, 0, 63
0, 7, 7, 0, 0, 127
0, 8, 8, 0, 0, 255
0, 9, 9, 0, 0, 511
0, 10, 10, 0, 0, 1023
1, 0, 1, 0, 1, 0
1, 1, 0, 0, 1, 1
1, 1, 2, 0, 1, 2
1, 2, 1, 0, 1, 3
1, 2, 3, 0, 1, 6
1, 3, 2, 0, 1, 7
1, 3, 4, 0, 1, 14
1, 4, 3, 0, 1, 15
1, 4, 5, 0, 1, 30
1, 5, 4, 0, 1, 31
1, 5, 6, 0, 1, 62
1, 6, 5, 0, 1, 63
1, 6, 7, 0, 1, 126
1, 7, 6, 0, 1, 127
1, 7, 8, 0, 1, 254
1, 8, 7, 0, 1, 255
1, 8, 9, 0, 1, 510
1, 9, 8, 0, 1, 511
1, 9, 10, 0, 1, 1022
1, 10, 9, 0, 1, 1023
2, 0, 2, 0, 3, 0
2, 1, 1, 0, 3, 1
2, 1, 3, 0, 3, 4
2, 2, 0, 0, 3, 3
2, 2, 2, 0, 3, 5
2, 2, 4, 0, 3, 12
2, 3, 1, 0, 3, 7
2, 3, 3, 0, 3, 13
2, 3, 5, 0, 3, 28
2, 4, 2, 0, 3, 15
2, 4, 4, 0, 3, 29
2, 4, 6, 0, 3, 60
2, 5, 3, 0, 3, 31
2, 5, 5, 0, 3, 61
2, 5, 7, 0, 3, 124
2, 6, 4, 0, 3, 63
2, 6, 6, 0, 3, 125
2, 6, 8, 0, 3, 252
2, 7, 5, 0, 3, 127
2, 7, 7, 0, 3, 253
2, 7, 9, 0, 3, 508
2, 8, 6, 0, 3, 255
2, 8, 8, 0, 3, 509
2, 8, 10, 0, 3, 1020
2, 9, 7, 0, 3, 511
2, 9, 9, 0, 3, 1021
2, 10, 8, 0, 3, 1023
3, 0, 3, 0, 7, 0
3, 1, 2, 0, 7, 1
3, 1, 4, 0, 7, 8
3, 2, 1, 0, 7, 3
3, 2, 3, 0, 7, 9
3, 2, 5, 0, 7, 24
3, 3, 0, 0, 7, 7
3, 3, 2, 0, 7, 11
3, 3, 4, 0, 7, 25
3, 3, 6, 0, 7, 56
3, 4, 1, 0, 7, 15
3, 4, 3, 0, 7, 27
3, 4, 5, 0, 7, 57
3, 4, 7, 0, 7, 120
3, 5, 2, 0, 7, 31
3, 5, 4, 0, 7, 59
3, 5, 6, 0, 7, 121
3, 5, 8, 0, 7, 248
3, 6, 3, 0, 7, 63
3, 6, 5, 0, 7, 123
3, 6, 7, 0, 7, 249
3, 6, 9, 0, 7, 504
3, 7, 4, 0, 7, 127
3, 7, 6, 0, 7, 251
3, 7, 8, 0, 7, 505
3, 7, 10, 0, 7, 1016
3, 8, 5, 0, 7, 255
3, 8, 7, 0, 7, 507
3, 8, 9, 0, 7, 1017
3, 9, 6, 0, 7, 511
3, 9, 8, 0, 7, 1019
3, 10, 7, 0, 7, 1023
4, 0, 4, 0, 15, 0
4, 1, 3, 0, 15, 1
4, 1, 5, 0, 15, 16
4, 2, 2, 0, 15, 3
4, 2, 4, 0, 15, 17
4, 2, 6, 0, 15, 48
4, 3, 1, 0, 15, 7
